Date,KOSPI 200,S&P 500,Nikkei 225,CSI 300
2019-01-16,271.23,2616.1,20442.75,3128.65
2019-01-17,271.88,2635.96,20402.27,3111.42
2019-01-18,273.88,2670.71,20666.07,3168.17
2019-01-21,274.0,2670.71,20719.33,3185.64
2019-01-22,272.71,2632.9,20622.91,3143.32
2019-01-23,273.87,2638.7,20593.72,3141.05
2019-01-24,276.61,2642.33,20574.63,3158.78
2019-01-25,281.67,2664.76,20773.56,3184.47
2019-01-28,281.64,2643.85,20649.0,3183.78
2019-01-29,283.0,2640.0,20664.64,3193.97
2019-01-30,286.62,2681.05,20556.54,3168.48
2019-01-31,285.89,2704.1,20773.49,3201.63
2019-02-01,285.79,2706.53,20788.39,3247.4
2019-02-04,285.79,2724.87,20883.77,3247.4
2019-02-05,285.79,2737.7,20844.45,3247.4
2019-02-06,285.79,2731.61,20874.06,3247.4
2019-02-07,285.65,2706.05,20751.28,3247.4
2019-02-08,281.49,2707.88,20333.17,3247.4
2019-02-11,282.1,2709.8,20333.17,3306.47
2019-02-12,283.69,2744.73,20864.21,3330.34
2019-02-13,284.97,2753.03,21144.48,3397.03
2019-02-14,288.68,2745.73,21139.71,3402.14
2019-02-15,283.98,2775.6,20900.63,3338.7
2019-02-18,285.9,2775.6,21281.85,3445.74
2019-02-19,284.91,2779.76,21302.65,3439.61
2019-02-20,288.4,2784.7,21431.49,3451.93
2019-02-21,288.41,2774.88,21464.23,3442.71
2019-02-22,288.74,2792.67,21425.51,3520.12
2019-02-25,289.0,2796.11,21528.23,3729.48
2019-02-26,287.89,2793.9,21449.39,3684.69
2019-02-27,288.76,2792.38,21556.51,3678.39
2019-02-28,283.8,2784.49,21385.16,3669.37
2019-03-01,283.8,2803.69,21602.69,3749.71
2019-03-04,282.51,2792.81,21822.04,3794.1
2019-03-05,280.45,2789.65,21726.28,3816.01
2019-03-06,279.85,2771.45,21596.81,3848.09
2019-03-07,278.87,2748.93,21456.01,3808.85
2019-03-08,274.84,2743.07,21025.56,3657.58
2019-03-11,275.06,2783.3,21125.09,3729.95
2019-03-12,277.73,2791.52,21503.69,3755.35
2019-03-13,276.0,2810.92,21290.24,3724.19
2019-03-14,276.64,2808.48,21287.02,3698.49
2019-03-15,279.87,2822.48,21450.85,3745.01
2019-03-18,279.93,2832.94,21584.5,3851.75
2019-03-19,279.82,2832.57,21566.85,3833.96
2019-03-20,279.92,2824.23,21608.92,3835.44
2019-03-21,282.38,2854.88,21608.92,3836.89
2019-03-22,283.13,2800.71,21627.34,3833.8
2019-03-25,277.45,2798.36,20977.11,3742.83
2019-03-26,277.6,2818.46,21428.39,3700.44
2019-03-27,277.28,2805.37,21378.73,3743.39
2019-03-28,275.08,2815.44,21033.76,3728.4
2019-03-29,276.48,2834.4,21205.81,3872.34
2019-03-31,276.48,2834.4,21205.81,3872.34
2019-04-01,280.32,2867.19,21509.03,3973.93
2019-04-02,281.72,2867.24,21505.31,3971.29
2019-04-03,285.65,2873.4,21713.21,4022.16
2019-04-04,286.15,2879.39,21724.95,4062.23
2019-04-05,286.68,2892.74,21807.5,4062.23
2019-04-08,286.38,2895.77,21761.65,4057.23
2019-04-09,286.71,2878.2,21802.59,4075.43
2019-04-10,287.92,2888.21,21687.57,4085.85
2019-04-11,287.42,2888.32,21711.38,3997.58
2019-04-12,288.37,2907.41,21870.56,3988.62
2019-04-15,289.38,2905.58,22169.11,3975.52
2019-04-16,290.62,2907.06,22221.66,4085.79
2019-04-17,290.33,2900.45,22277.97,4087.24
2019-04-18,285.82,2905.03,22090.12,4072.08
2019-04-19,285.89,2905.03,22200.56,4120.61
2019-04-22,285.87,2907.97,22217.9,4025.61
2019-04-23,286.47,2933.68,22259.74,4019.01
2019-04-24,283.7,2927.25,22200.0,4030.09
2019-04-25,282.83,2926.17,22307.58,3941.82
2019-04-26,281.34,2939.88,22258.73,3889.27
2019-04-29,286.79,2943.03,22258.73,3900.33
2019-04-30,284.92,2945.83,22258.73,3913.21
2019-05-01,284.92,2923.73,22258.73,3913.21
2019-05-02,286.12,2917.52,22258.73,3913.21
2019-05-03,283.67,2945.64,22258.73,3913.21
2019-05-06,283.67,2932.47,22258.73,3684.62
2019-05-07,281.31,2884.05,21923.72,3720.67
2019-05-08,280.15,2879.42,21602.59,3667.46
2019-05-09,271.0,2870.72,21402.13,3599.7
2019-05-10,272.06,2881.4,21344.92,3730.45
2019-05-13,268.72,2811.87,21191.28,3668.73
2019-05-14,268.57,2834.41,21067.23,3645.15
2019-05-15,269.64,2850.96,21188.56,3727.09
2019-05-16,265.99,2876.32,21062.98,3743.96
2019-05-17,264.35,2859.53,21250.09,3648.76
2019-05-20,264.96,2840.23,21301.73,3617.79
2019-05-21,266.12,2864.36,21272.45,3666.78
2019-05-22,266.65,2856.27,21283.37,3649.38
2019-05-23,266.38,2822.24,21151.14,3583.96
2019-05-24,264.42,2826.06,21117.22,3593.91
2019-05-27,264.4,2826.06,21182.58,3637.2
2019-05-28,264.7,2802.39,21260.14,3672.26
2019-05-29,261.37,2783.02,21003.37,3663.91
2019-05-30,263.93,2788.86,20942.53,3641.18
2019-05-31,263.89,2752.06,20601.19,3629.79
2019-06-03,268.16,2744.45,20410.88,3632.01
2019-06-04,267.66,2803.27,20408.54,3598.47
2019-06-05,267.99,2826.15,20776.1,3597.11
2019-06-06,267.99,2843.49,20774.04,3564.68
2019-06-07,268.27,2873.34,20884.71,3564.68
